Distribuição dos casos de dengue  autóctones segundo o município de residência, por semana epidemiológica de início de sintomas, ESP, 2019.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DRS;;GVE;;Região de Saúde;Município;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;SE 14;SE 15;SE 16;SE 17;SE 18;SE 19;SE 20;SE 21;SE 22;SE 23;SE 24;SE 25;SE 26;SE 27;SE 28;SE 29;SE 30;SE 31;SE 32;SE 33;SE 34;SE 35;SE 36;SE 37;SE 38;SE 39;SE 40;SE 41;SE 42;SE 43;SE 44;SE 45;SE 46;SE 47;SE 48;SE 49;SE 50;SE 51;SE 52;Total
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;350550 Barretos;107;105;188;275;276;309;252;240;263;185;226;227;272;373;391;308;269;225;219;214;135;74;40;26;29;13;9;6;6;2;3;2;1;1;1;3;4;2;1;3;2;5;3;1;5;3;3;2;3;3;1;6;5322
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35131;HORIZONTE VERDE;350560 Barrinha;0;0;1;0;1;1;0;1;3;4;9;14;19;28;41;53;45;46;62;42;51;20;17;10;12;4;3;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;494
1;São Paulo;X;OSASCO;35014;ROTA DOS BANDEIRANTES;350570 Barueri;0;0;0;0;0;1;1;0;0;0;1;1;8;7;7;17;15;20;23;22;17;8;5;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;159
9;Marília;XIX;MARÍLIA;35095;TUPÃ;350580 Bastos;0;1;1;0;0;0;0;1;0;0;4;3;5;5;7;5;21;26;41;48;46;33;20;17;11;19;5;10;5;6;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;6;0;1;2;356
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;350590 Batatais;0;0;1;5;6;8;27;26;17;19;24;25;39;28;54;53;61;46;40;17;12;17;6;6;4;2;2;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;549
6;Bauru;XV;BAURU;35062;BAURU;350600 Bauru;191;427;651;1.018;1.087;1.390;1.619;1.789;1.653;1.993;2.320;2.287;2.092;1.897;1.559;1.131;890;574;419;375;269;136;97;73;54;31;14;16;13;9;6;6;4;5;6;6;12;10;8;12;10;10;13;8;15;16;11;5;11;5;5;6;26264
5;Barretos;XIV;BARRETOS;35052;SUL-BARRETOS;350610 Bebedouro;4;4;1;7;9;9;13;17;10;15;18;18;36;45;53;62;39;59;74;66;28;11;14;11;7;5;3;8;2;3;5;2;3;3;1;1;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;670
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350620 Bento de Abreu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;1;1;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
9;Marília;XIII;ASSIS;35094;OURINHOS;350630 Bernardino de Campos;0;0;0;0;2;1;4;12;4;8;15;6;4;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
4;Baixada Santista;XXV;SANTOS;35041;BAIXADA SANTISTA;350635 Bertioga;1;0;0;1;0;0;0;2;0;0;1;1;0;1;0;4;6;1;3;0;2;1;2;2;4;0;3;4;2;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;46
